,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,99%,max
buro_credit_sum_total,305811.0,1992466.0737722714,4165820.016618707,0.0,20660.679,67500.0,124830.0,346967.64,978820.74,2345121.0,4771194.66,14383627.164000038,1017957917.385
buro_debt_sum_total,305811.0,653914.1904519262,1640690.8136590512,-6981558.210000001,0.0,0.0,0.0,0.0,173367.0,676541.25,1638702.0,7132671.90000001,334498331.20500004
buro_overdue_sum_total,305811.0,212.79325774743225,15691.611872366193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3756681.0
buro_active_ratio,305811.0,0.4102231492618972,0.3072281972056513,0.0,0.0,0.0,0.0,0.2,0.375,0.6,1.0,1.0,1.0
buro_overdue_credit_ratio,304535.0,0.0001935661228054838,0.02937444238351722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90888156688649e-05,14.70549343704424
buro_debt_credit_ratio,304535.0,0.28223016392975575,0.43185644754173197,-175.28923076923076,0.0,0.0,0.0,0.0,0.2108858563601394,0.4818420458402629,0.7226306530363495,0.9910309473684208,7.7891
bb_status_max,134542.0,0.5148206508004936,0.9328306465179855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0
bb_status_mean,134542.0,0.025453622714254755,0.1356923821762153,0.0,0.0,0.0,0.0,0.0,0.0,0.0105263157894736,0.049805824871069306,0.4008370977899919,5.0
bb_severe_count,305811.0,0.02387095297422264,0.23642463735225275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0
inst_count,339587.0,40.06455194103425,41.053342918276805,1.0,3.0,5.0,7.0,12.0,25.0,51.0,99.0,188.0,372.0
inst_delay_mean,339587.0,-11.256172309113534,12.971185594396323,-295.0,-45.5,-28.1,-22.09090909090909,-14.843893348623853,-9.5625,-5.888888888888889,-3.333333333333333,7.0,1884.2045454545453
inst_delay_max,339587.0,15.695524269185805,108.71657568938551,-156.0,-20.0,-12.0,-8.0,-2.0,1.0,9.0,25.0,341.0,2884.0
inst_late_count,339587.0,3.3766575281150337,6.37402970385792,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,30.0,159.0
inst_late30_count,339587.0,0.11379116397270803,0.715395331063152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,92.0
inst_paid_ratio_mean,339575.0,1.3603305679164766,28.429260087108755,0.3333333333333333,0.6666666666666666,0.7962962962962963,0.8611111111111112,0.9552238805970148,1.0,1.0,1.050263211584771,2.1053690298539327,8482.446154543808
inst_paid_ratio_min,339575.0,0.5971789800414921,0.4718286481370255,0.0,1.6962400341093113e-05,0.00019306163139808,0.0007514417592502401,0.015,1.0,1.0,1.0,1.0,1.9695119549375664
inst_late_ratio,339587.0,0.07438503124288967,0.11449011399081682,0.0,0.0,0.0,0.0,0.0,0.0178571428571428,0.109375,0.2340425531914893,0.5,1.0
inst_late30_ratio,339587.0,0.0027691754740757774,0.016049439743935502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,1.0
prev_count,338857.0,4.928964135313716,4.220716003923304,1.0,1.0,1.0,1.0,2.0,4.0,7.0,10.0,20.0,77.0
prev_approved_count,338857.0,3.0596416777578743,2.1354040981746807,0.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,10.0,27.0
prev_refused_count,338857.0,0.8578190800249073,1.830574010617878,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,68.0
prev_days_decision_mean,338857.0,-919.2889459407627,574.6589774842907,-2922.0,-2639.1466666666665,-2084.0,-1734.0,-1240.6666666666667,-788.25,-471.5,-303.0,-142.0,-2.0
prev_down_payment_mean,318753.0,0.08141800497263302,0.08958760728897575,-7.489381707153924e-06,0.0,0.0,0.0,0.0,0.0651605132293269,0.1089127128815844,0.19508311447888713,0.4230711569807579,0.9897398775709312
prev_app_credit_ratio_mean,338605.0,0.9695340861978856,0.17034646094197187,0.0,0.5,0.718294910623531,0.8097625523769242,0.908345492954679,0.9713728888841886,1.026466881389161,1.111142470088935,1.4828441758396815,10.0
prev_approved_ratio,338857.0,0.7444952888216919,0.26324993454251516,0.0,0.1428571428571428,0.2727272727272727,0.3333333333333333,0.5,0.7777777777777778,1.0,1.0,1.0,1.0
prev_refused_ratio,338857.0,0.11142006457364015,0.1837304922570872,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.7142857142857143,1.0
cc_dpd_max,103558.0,16.401871415052433,141.9661498137337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,608.429999999993,3260.0
cc_dpd_mean,103558.0,4.107205970621211,44.34102543548332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,87.97187499999927,1635.6847826086955
cc_util_mean,102445.0,0.320572893094807,0.32438183714889274,-0.0848484848484848,0.0,0.0,0.0,0.0,0.2413131133333333,0.5832744192708333,0.8308169316350317,1.0026998618518517,2.138789685393258
cc_util_max,102445.0,0.6222984843311464,0.4829083238653853,0.0,0.0,0.0,0.0,0.0,0.9395164,1.04361025,1.0735497,1.1520851946666664,11.77751
cc_payment_ratio_mean,69884.0,18.715104236841306,1886.9812086685768,0.0,0.7156114896906323,1.0286543415430864,1.0963766018032493,1.4115043351512064,2.3989067090329925,5.0105646112964255,11.947525159439154,99.81501908074554,496093.0800832475
mkt_last90_mean_change,356255.0,-0.030945086170614,0.0,-0.030945086170614,-0.030945086170614,-0.030945086170614,-0.030945086170614,-0.030945086170614,-0.030945086170614,-0.030945086170614,-0.030945086170614,-0.030945086170614,-0.030945086170614
mkt_last90_volatility,356255.0,2.814297344933187,8.88179666251457e-16,2.8142973449331863,2.8142973449331863,2.8142973449331863,2.8142973449331863,2.8142973449331863,2.8142973449331863,2.8142973449331863,2.8142973449331863,2.8142973449331863,2.8142973449331863
mkt_full_neg_day_ratio,356255.0,0.486828354174925,2.2204491656286426e-16,0.4868283541749252,0.4868283541749252,0.4868283541749252,0.4868283541749252,0.4868283541749252,0.4868283541749252,0.4868283541749252,0.4868283541749252,0.4868283541749252,0.4868283541749252
TARGET_TRANSITION_TO_90,356255.0,0.0004884141976954709,0.022094728320782454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
